Player ID,Role,Playstyle,Pain Points,Goals,Quotes,Preferred Games,Wishes Others Understood,Weapons
Tank_01,Tank,Team protection,Needs reliable healers; Hates squishy DPS,Protect the team; Hold aggro on all enemies,I can’t tank if I can’t move.,FFXIV; Guild Wars 2,Use your cooldowns proactively.,Mace; Shield
Tank_02,Tank,Aggro management,Needs reliable healers; Hard to manage multiple mobs,Hold aggro on all enemies; Protect the team,Why is the DPS pulling extra mobs?,WoW; Guild Wars 2,Use your cooldowns proactively.,Shield; Greatsword
Tank_03,Tank,Aggro management,Hard to manage multiple mobs; Needs reliable healers,Hold aggro on all enemies; Protect the team,I need healers to focus on me!,Guild Wars 2; FFXIV,Don’t pull extra mobs—I can’t hold aggro on everything.,Shield; Mace
Tank_04,Tank,Aggro management,Struggles with mobility; Hates squishy DPS,Hold aggro on all enemies; Protect the team,I need healers to focus on me!,FFXIV; Guild Wars 2,Wait for me to grab aggro before attacking!,Shield; Greatsword
Tank_05,Tank,Aggro management,Hard to manage multiple mobs; Struggles with mobility,Protect the team; Hold aggro on all enemies,Why is the DPS pulling extra mobs?,Guild Wars 2; WoW,Wait for me to grab aggro before attacking!,Greatsword; Mace
Tank_06,Tank,Aggro management,Struggles with mobility; Hard to manage multiple mobs,Protect the team; Hold aggro on all enemies,I can’t tank if I can’t move.,Guild Wars 2; FFXIV,Wait for me to grab aggro before attacking!,Greatsword; Shield
Tank_07,Tank,High survivability,Struggles with mobility; Hard to manage multiple mobs,Survive boss mechanics; Hold aggro on all enemies,I need healers to focus on me!,Guild Wars 2; WoW,Don’t pull extra mobs—I can’t hold aggro on everything.,Mace; Greatsword
Tank_08,Tank,High survivability,Hates squishy DPS; Needs reliable healers,Protect the team; Survive boss mechanics,"If the DPS can’t dodge, I can’t do my job.",Guild Wars 2; WoW,Wait for me to grab aggro before attacking!,Shield; Mace
Tank_09,Tank,Team protection,Hates squishy DPS; Hard to manage multiple mobs,Hold aggro on all enemies; Survive boss mechanics,"If the DPS can’t dodge, I can’t do my job.",FFXIV; WoW,Don’t pull extra mobs—I can’t hold aggro on everything.,Shield; Greatsword
Tank_10,Tank,Aggro management,Needs reliable healers; Hard to manage multiple mobs,Survive boss mechanics; Hold aggro on all enemies,I can’t tank if I can’t move.,WoW; FFXIV,Use your cooldowns proactively.,Shield; Mace
Healer_01,Healer,Resource management,Hates unpredictable damage; Mana management is tough,Manage resources efficiently; Support DPS,"DPS, stop pulling extra mobs!",WoW; FFXIV,"DPS, don’t pull extra mobs—I can’t heal through that!",Wand; Scepter
